logged_at_utc,season,week,game_id,fav,p_fav_market,p_fav_injury_adj
2026-09-20T15:25:27Z,2026,2,2026_02_DET_BUF,BUF,0.6750,0.6575
2026-09-20T15:25:27Z,2026,2,2026_02_CAR_ATL,CAR,0.5830,0.5514
2026-09-20T15:25:27Z,2026,2,2026_02_NO_BAL,BAL,0.7572,0.7715
2026-09-20T15:25:27Z,2026,2,2026_02_MIN_CHI,CHI,0.6575,0.6636
2026-09-20T15:25:27Z,2026,2,2026_02_CIN_HOU,HOU,0.5721,0.5635
2026-09-20T15:25:27Z,2026,2,2026_02_PIT_NE,NE,0.6690,0.6575
2026-09-20T15:25:27Z,2026,2,2026_02_GB_NYJ,GB,0.6309,0.6447
2026-09-20T15:25:27Z,2026,2,2026_02_CLE_TB,TB,0.7768,0.7659
2026-09-20T15:25:27Z,2026,2,2026_02_PHI_TEN,PHI,0.7335,0.7258
2026-09-20T15:25:27Z,2026,2,2026_02_JAX_DEN,DEN,0.5721,0.5830
2026-09-20T15:25:27Z,2026,2,2026_02_LV_LAC,LAC,0.7258,0.7180
2026-09-20T15:25:27Z,2026,2,2026_02_SEA_ARI,SEA,0.6447,0.6447
2026-09-20T15:25:27Z,2026,2,2026_02_WAS_DAL,DAL,0.6575,0.6575
2026-09-20T15:25:27Z,2026,2,2026_02_MIA_SF,SF,0.8677,0.8677
2026-09-20T15:25:27Z,2026,2,2026_02_IND_KC,KC,0.6958,0.7095
2026-09-20T15:25:27Z,2026,2,2026_02_NYG_LA,LA,0.7221,0.7478
